round,position,name,port,rps,p50,p90,p99,rss_before_kb,rss_after_kb,socket_errors,non_2xx
1,1,plain-actix,4102,645111.36,683.00us,5.77ms,13.88ms,4980,17780,"",
1,2,caelix-actix-bench,4101,573916.43,1.08ms,5.90ms,15.27ms,5128,17672,"",
1,3,plain-axum,4202,467920.86,1.80ms,4.40ms,20.93ms,6308,25752,"",
1,4,caelix-axum-bench,4201,371998.13,2.41ms,4.99ms,9.91ms,6976,19864,"",
2,1,caelix-axum-bench,4201,359736.50,2.48ms,5.13ms,10.11ms,6992,23168,"",
2,2,plain-axum,4202,465991.14,1.86ms,4.09ms,9.64ms,6364,22716,"",
2,3,caelix-actix-bench,4101,595952.44,0.99ms,5.78ms,14.70ms,5128,17800,"",
2,4,plain-actix,4102,638400.27,0.89ms,5.36ms,13.33ms,4944,18000,"",
3,1,plain-axum,4202,471054.75,1.78ms,4.19ms,9.99ms,6412,20212,"",
3,2,caelix-axum-bench,4201,358824.77,2.52ms,5.01ms,9.42ms,6880,18888,"Socket errors: connect 0; read 1; write 0; timeout 0",
3,3,plain-actix,4102,644724.20,777.00us,5.63ms,14.00ms,5060,17732,"",
3,4,caelix-actix-bench,4101,586479.68,0.96ms,5.80ms,14.92ms,5320,17736,"",
